permit_type,permit_number,permit_class,issue_date,last_30_days,current_status,expires_date,address,city,state,zip,project_id,latitude,link,longitude,valuation
BP,2021-118656 BP,Commercial,8/3/2021,No,Active,7/25/2022,710 E 3RD ST,AUSTIN,TX,78701,12751937,30.26336306,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12751937,-97.73649469,80000
BP,2021-122123 BP,Commercial,8/16/2021,No,Active,6/20/2022,617 COLORADO ST,AUSTIN,TX,78701,12755956,30.26909632,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12755956,-97.74363766,67000000
BP,2021-122124 BP,Commercial,8/15/2021,No,Active,6/20/2022,617 COLORADO ST,AUSTIN,TX,78701,12755957,30.26909632,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12755957,-97.74363766,67000000
BP,2021-122125 BP,Commercial,8/16/2021,No,Active,6/20/2022,617 COLORADO ST,AUSTIN,TX,78701,12755958,30.26909632,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12755958,-97.74363766,67000000
BP,2021-122126 BP,Commercial,8/15/2021,No,Active,6/20/2022,617 COLORADO ST,AUSTIN,TX,78701,12755959,30.26909632,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12755959,-97.74363766,67000000
BP,2021-122127 BP,Commercial,8/15/2021,No,Active,6/20/2022,617 COLORADO ST,AUSTIN,TX,78701,12755960,30.26909632,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12755960,-97.74363766,67000000
BP,2021-122128 BP,Commercial,8/15/2021,No,Active,6/20/2022,617 COLORADO ST,AUSTIN,TX,78701,12755961,30.26909632,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12755961,-97.74363766,67000000
BP,2021-122129 BP,Commercial,8/15/2021,No,Active,6/20/2022,617 COLORADO ST,AUSTIN,TX,78701,12755962,30.26909632,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12755962,-97.74363766,67000000
BP,2021-122130 BP,Commercial,8/16/2021,No,Active,6/20/2022,617 COLORADO ST,AUSTIN,TX,78701,12755963,30.26909632,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12755963,-97.74363766,67000000
BP,2021-122131 BP,Commercial,8/15/2021,No,Active,6/20/2022,617 COLORADO ST,AUSTIN,TX,78701,12755964,30.26909632,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12755964,-97.74363766,67000000
